compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
caffeine,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
caffeine,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
caffeine,19,ATP binding cassette subfamily A member 1,ABCA1,O95477,O95477;B2RUU2;B7XCW9
caffeine,20,ATP binding cassette subfamily A member 2,ABCA2,Q9BZC7,Q9BZC7
caffeine,21,ATP binding cassette subfamily A member 3,ABCA3,Q99758,Q99758
caffeine,23,ATP binding cassette subfamily F member 1,ABCF1,Q8NE71,Q8NE71;A0A1U9X609;Q2L6I2
caffeine,23,ATP binding cassette subfamily F member 1,ABCF1,Q8NE71,Q8NE71;A0A1U9X609;Q2L6I2
caffeine,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,P00519,P00519;Q59FK4
caffeine,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,P00519,P00519;Q59FK4
caffeine,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2,P42684,P42684
caffeine,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2,P42684,P42684
caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
caffeine,32,acetyl-CoA carboxylase beta,ACACB,O00763,O00763
caffeine,32,acetyl-CoA carboxylase beta,ACACB,O00763,O00763
caffeine,39,acetyl-CoA acetyltransferase 2,ACAT2,Q9BWD1,Q9BWD1
caffeine,39,acetyl-CoA acetyltransferase 2,ACAT2,Q9BWD1,Q9BWD1
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
caffeine,51,acyl-CoA oxidase 1,ACOX1,Q15067,Q15067
caffeine,51,acyl-CoA oxidase 1,ACOX1,Q15067,Q15067
caffeine,59,"actin alpha 2, smooth muscle",ACTA2,P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4
caffeine,59,"actin alpha 2, smooth muscle",ACTA2,P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4
caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
caffeine,81,actinin alpha 4,ACTN4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144
